Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Angela Alsobrooks,Democratic,"528,659","522,329","500,852","52,471","1,604,311",54.23%
Larry Hogan,Republican,"433,416","582,958","224,978","37,660","1,279,012",43.24%
Mike Scott,Libertarian,"20,189","36,032","9,429","2,651","68,301",2.31%
Patrick J. Burke (Write In),Other Candidates,357,317,41,6,721,0.02%
Billy Bridges (Write In),Unaffiliated,11,25,5,1,42,0.00%
Irwin William Gibbs (Write In),Unaffiliated,1,0,1,0,2,0.00%
Christy Renee Helmondollar (Write In),Unaffiliated,0,1,0,1,2,0.00%
Robin Rowe (Write In),Unaffiliated,3,6,1,0,10,0.00%
Totals,,"984,747","1,144,111","736,410","92,951","2,958,219",100.00%
